URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
# 'Words' character help images,,,,,,,,,,,
resources/images/BourbonTop.jpg,,,100%,image-local,,Words on the top of a Bourbon,,,,,
# 'FillingColour' character state help,,,,,,,,,,,
resources/images/CusCreamFilling.jpg,,,100%,image-local,,The filling of a Custard Cream    ,,,,,
resources/images/CusCreamXSection.jpg,,,100%,image-local,,White filling in a Custard Cream    ,,,,,
resources/images/BourbonFilling.jpg,,,100%,image-local,,The filling inside a Bourbon   ,,,,,
resources/images/BourbonXSection.jpg,,,100%,image-local,,Dark brown filling in a Bourbon,,,,,
resources/images/JSCreamXSection.jpg,,,100%,image-local,2,White and red filling in a Jam Sandwich Cream    ,,,,,
resources/images/HappyFaceFilling.jpg,,,100%,image-local,1,White and red filling inside a Happy Face    ,,,,,
# Taxon images...,,,,,,,,,,,
resources/images/MCC1.jpg,,,100%,image-local,,A photo showing a top down view of a Choc Chip Cookie    ,,,,,
resources/images/MCC2.jpg,,,100%,image-local,,A photo showing an oblique view of a Choc Chip Cookie    ,,,,,
https://www.handletheheat.com/wp-content/uploads/2018/02/BAKERY-STYLE-CHOCOLATE-CHIP-COOKIES-9-768x768.jpg,,,100%,image-web,,Web photo of Choc Chip,,,,,
,,,,,,,,,,,
# Taxon HTML files…,,,,,,,,,,,
resources/text/DigestivesHist.html,,,,html-local,2,History of the Digestive ,,,,,
resources/text/DigestivesRecipe.html,,,,html-local,1,Recipe for a Digestive,,,,,
resources/text/Bourbon.html,,,,html-local,1,About the Bourbon biscuit,,,,,
resources/text/template.html,,,,html-local,1,Template taxon info file,,,,,
,,,,,,,,,,,
# Shape character state  help images,,,,,,,,,,,
resources/images/MCC1.jpg,,,100%,image-local,,A round Choc Chip Cookie    ,,,,,
resources/images/MCFingerTop.jpg,,,100%,image-local,,Top down view of a Milk Chocolate Finger    ,,,,,
resources/images/CusCreamTop.jpg,,,100%,image-local,,A rectangular Custard Cream    ,,,,,
,,,,,,,,,,,
# Pattern character state help,,,,,,,,,,,
resources/images/CusCreamTop.jpg,,,100%,image-local,,Pattern on a Custard Cream    ,,,,,
resources/images/RomanyCreamTop.jpg,,,100%,image-local,,Pattern on a Romany Vanilla Cream    ,,,,,
resources/images/ShortcakeTopClose.jpg,,,100%,image-local,,Pattern on a Shortcake,,,,,
resources/images/BourbonTop.jpg,,,100%,image-local,,No pattern on top of a Bourbon,,,,,
,,,,,,,,,,,
# BiscuitColour charcter state help,,,,,,,,,,,
resources/images/MCC1.jpg,,,100%,image-local,,Pale brown Choc Chip Cookie    ,,,,,
resources/images/MCFingerXSection.jpg,,,100%,image-local,,The biscuit itself is pale brown underneath the coating,,,,,
resources/images/RomanyCreamTop.jpg,,,100%,image-local,,A dark brown Romany Vanilla Cream    ,,,,,
,,,,,,,,,,,
# Holes character state help,,,,,,,,,,,
resources/images/MCC1.jpg,,,100%,image-local,,No holes in a Choc Chip Cookie,,,,,
resources/images/HappyFaceTop.jpg,,,100%,image-local,,These do not count as holes,,,,,
resources/images/HighlandShortieOblique.jpg,,,100%,image-local,,Holes on a Rich Highland Shortie    ,,,,,
resources/images/BourbonTop.jpg,,,100%,image-local,,Holes in the surface of a Bourbon,,,,,
,,,,,,,,,,,
# SingleDouble character state help,,,,,,,,,,,
resources/images/RomanyCreamSide.jpg,,,100%,image-local,,Double biscuit layer on a Romany Vanilla Cream    ,,,,,
resources/images/MCDSide.jpg,,,100%,image-local,,A single biscuit layer (Milk Chocolate Digestive)   ,,,,,
,,,,,,,,,,,
# Coating character state help,,,,,,,,,,,
resources/images/HighlandShortieSide.jpg,,,100%,image-local,,A naked Rich Highland Shortie    ,,,,,
resources/images/MCDBottom.jpg,,,100%,image-local,,Chocolate coating on a Milk Chocolate Digestive    ,,,,,
,,,,,,,,,,,
# Taxon images...,,,,,,,,,,,
,,,,,,,,,,,
resources/images/JSCreamTop.jpg,,,100%,image-local,,Top down view of a Jam Sandwich Cream    ,,,,,
resources/images/JSCreamBottom.jpg,,,100%,image-local,,Underside of a Jam Sandwich Cream    ,,,,,
resources/images/JSCreamOblique.jpg,,,100%,image-local,,Oblique view of a Jam Sandwich Cream    ,,,,,
resources/images/JSCreamXSection.jpg,,,100%,image-local,,Cross section through a Jam Sandwich Cream    ,,,,,
,,,,,,,,,,,
resources/images/MCFingerTop.jpg,,,100%,image-local,,Top down view of a Milk Chocolate Finger    ,,,,,
resources/images/MCFingerOblique.jpg,,,100%,image-local,,Oblique view of a Milk Chocolate Finger    ,,,,,
resources/images/MCFingerXSection.jpg,,,100%,image-local,,Inside view of a Milk Chocolate Finger    ,,,,,
,,,,,,,,,,,
resources/images/RomanyCreamTop.jpg,,,100%,image-local,,Top down view of a Romany Vanilla Cream    ,,,,,
resources/images/RomanyCreamSide.jpg,,,100%,image-local,,Side view of a Romany Vanilla Cream    ,,,,,
resources/images/RomanyCreamOblique.jpg,,,100%,image-local,,Oblique view of a Romany Vanilla Cream    ,,,,,
,,,,,,,,,,,
resources/images/HighlandShortieTop.jpg,,,100%,image-local,,Top down view of a Rich Highland Shortie    ,,,,,
resources/images/HighlandShortieSide.jpg,,,100%,image-local,,Oblique view of a Rich Highland Shortie    ,,,,,
resources/images/HighlandShortieOblique.jpg,,,100%,image-local,,Close up of a Rich Highland Shortie    ,,,,,
,,,,,,,,,,,
resources/images/CusCreamTop.jpg,,,100%,image-local,,Top view of a Custard Cream    ,,,,,
resources/images/CusCreamSide.jpg,,,100%,image-local,1,Side view of a Custard Cream    ,,,,,
resources/images/CusCreamXSection.jpg,,,100%,image-local,,Cross section through a Custard Cream    ,,,,,
resources/images/CusCreamFilling.jpg,,,100%,image-local,,The filling of a Custard Cream    ,,,,,
,,,,,,,,,,,
resources/images/BourbonTop.jpg,,,100%,image-local,,Top down view of a Bourbon   ,,,,,
resources/images/BourbonSide.jpg,,,100%,image-local,,Side view of a Bourbon   ,,,,,
resources/images/BourbonXSection.jpg,,,100%,image-local,,Cross section through a Bourbon   ,,,,,
resources/images/BourbonFilling.jpg,,,100%,image-local,,The filling inside a Bourbon   ,,,,,
,,,,,,,,,,,
resources/images/HappyFaceTop.jpg,,,100%,image-local,,Top view of a Happy Face    ,,,,,
resources/images/HappyFaceSide.jpg,,,100%,image-local,,Side view of a Happy Face    ,,,,,
resources/images/HappyFaceFilling.jpg,,,100%,image-local,,The filling inside a Happy Face    ,,,,,
,,,,,,,,,,,
resources/images/MCDBottom.jpg,,,100%,image-local,2,Bottom view of a Milk Chocolate Digestive ,,,,,
